2026-03-17T19:40:28.407509 | frame=47 | x=407 y=253 | area=1014
2026-03-17T19:40:28.929604 | frame=62 | x=476 y=380 | area=1108
2026-03-17T19:40:29.435203 | frame=62 | x=476 y=380 | area=1108
2026-03-17T19:40:29.958580 | frame=78 | x=484 y=386 | area=827
2026-03-17T19:40:30.462083 | frame=78 | x=484 y=386 | area=827
2026-03-17T19:40:30.989618 | frame=91 | x=405 y=246 | area=838
2026-03-17T19:40:31.491691 | frame=91 | x=405 y=246 | area=838
2026-03-17T19:40:32.019343 | frame=100 | x=408 y=251 | area=1001
2026-03-17T19:40:32.524043 | frame=100 | x=408 y=251 | area=1001
2026-03-17T19:40:33.052624 | frame=103 | x=409 y=258 | area=1053
2026-03-17T19:40:33.554663 | frame=103 | x=409 y=258 | area=1053
2026-03-17T19:40:34.080708 | frame=115 | x=406 y=250 | area=1009
2026-03-17T19:40:34.585295 | frame=115 | x=406 y=250 | area=1009
2026-03-17T19:40:35.112065 | frame=118 | x=470 y=304 | area=776
2026-03-17T19:40:35.617576 | frame=118 | x=470 y=304 | area=776
2026-03-17T19:40:36.143703 | frame=119 | x=341 y=307 | area=668
2026-03-17T19:40:36.646747 | frame=119 | x=341 y=307 | area=668
2026-03-17T19:40:37.176882 | frame=0 | x=405 y=252 | area=691
2026-03-17T19:40:37.681532 | frame=0 | x=405 y=252 | area=691
2026-03-17T19:41:35.858572 | frame=1 | x=319 y=275 | area=2210
2026-03-17T19:41:36.361427 | frame=1 | x=319 y=275 | area=2210
2026-03-17T19:41:36.888681 | frame=2 | x=319 y=367 | area=2184
2026-03-17T19:41:37.389719 | frame=2 | x=319 y=367 | area=2184
2026-03-17T19:41:37.919600 | frame=3 | x=319 y=252 | area=2107
2026-03-17T19:41:38.425207 | frame=3 | x=319 y=252 | area=2107
2026-03-17T19:41:38.953510 | frame=4 | x=319 y=252 | area=2084
2026-03-17T19:41:39.458094 | frame=4 | x=319 y=252 | area=2084
2026-03-17T19:41:39.986436 | frame=14 | x=319 y=380 | area=1995
2026-03-17T19:41:40.488535 | frame=14 | x=319 y=380 | area=1995
2026-03-17T19:41:41.015024 | frame=29 | x=319 y=242 | area=7503
2026-03-17T19:41:41.519740 | frame=29 | x=319 y=242 | area=7503
2026-03-17T19:41:42.048371 | frame=45 | x=463 y=241 | area=7359
2026-03-17T19:41:42.550988 | frame=45 | x=463 y=241 | area=7359
2026-03-17T19:41:43.080874 | frame=60 | x=317 y=239 | area=7377
2026-03-17T19:41:43.585830 | frame=60 | x=317 y=239 | area=7377
2026-03-17T19:41:44.114868 | frame=76 | x=319 y=253 | area=946
2026-03-17T19:41:44.620558 | frame=76 | x=319 y=253 | area=946
2026-03-17T19:41:45.146006 | frame=91 | x=475 y=273 | area=1204
2026-03-17T19:41:45.649740 | frame=91 | x=475 y=273 | area=1204
2026-03-17T19:41:46.179358 | frame=107 | x=319 y=238 | area=1336
2026-03-17T19:41:46.684222 | frame=107 | x=319 y=238 | area=1336
2026-03-17T19:41:47.209026 | frame=1 | x=472 y=377 | area=1423
2026-03-17T19:41:47.712351 | frame=1 | x=472 y=377 | area=1423
2026-03-17T19:41:48.240258 | frame=17 | x=319 y=350 | area=1334
2026-03-17T19:41:48.745787 | frame=17 | x=319 y=350 | area=1334
2026-03-17T19:41:49.271242 | frame=32 | x=318 y=239 | area=1342
2026-03-17T19:41:49.773730 | frame=32 | x=318 y=239 | area=1342
2026-03-17T19:41:50.298112 | frame=47 | x=318 y=291 | area=1416
2026-03-17T19:41:50.802745 | frame=47 | x=318 y=291 | area=1416
2026-03-17T19:41:51.327257 | frame=63 | x=318 y=345 | area=1410
2026-03-17T19:41:51.828215 | frame=63 | x=318 y=345 | area=1410
2026-03-17T19:41:52.357137 | frame=78 | x=464 y=377 | area=1324
2026-03-17T19:41:52.861482 | frame=78 | x=464 y=377 | area=1324
2026-03-17T19:41:53.384982 | frame=93 | x=319 y=287 | area=1338
2026-03-17T19:41:53.887447 | frame=93 | x=319 y=287 | area=1338
2026-03-17T19:41:54.414026 | frame=100 | x=320 y=259 | area=1257
2026-03-17T19:41:54.915543 | frame=100 | x=320 y=259 | area=1257
2026-03-17T19:41:55.440947 | frame=102 | x=319 y=350 | area=1362
2026-03-17T19:41:55.945605 | frame=102 | x=319 y=350 | area=1362
2026-03-17T19:41:56.473879 | frame=117 | x=319 y=253 | area=1017
2026-03-17T19:41:56.975333 | frame=117 | x=319 y=253 | area=1017
2026-03-17T19:41:57.504165 | frame=12 | x=318 y=225 | area=786
2026-03-17T19:41:58.009671 | frame=12 | x=318 y=225 | area=786
2026-03-17T20:00:15.980438 | frame=9 | x=346 y=302 | area=500
2026-03-17T20:00:16.484821 | frame=9 | x=346 y=302 | area=500
2026-03-17T20:00:17.012499 | frame=11 | x=349 y=288 | area=522
2026-03-17T20:00:17.518068 | frame=11 | x=349 y=288 | area=522
2026-03-17T20:00:18.043791 | frame=13 | x=348 y=310 | area=607
2026-03-17T20:00:18.549363 | frame=13 | x=348 y=310 | area=607
2026-03-17T20:00:19.077502 | frame=14 | x=349 y=308 | area=624
2026-03-17T20:00:19.583062 | frame=14 | x=349 y=308 | area=624
2026-03-17T20:00:20.110755 | frame=15 | x=340 y=298 | area=691
2026-03-17T20:00:20.611988 | frame=15 | x=340 y=298 | area=691
2026-03-17T20:00:21.138271 | frame=16 | x=341 y=295 | area=649
2026-03-17T20:00:21.643891 | frame=16 | x=341 y=295 | area=649
2026-03-17T20:00:22.173181 | frame=52 | x=346 y=298 | area=730
2026-03-17T20:00:22.677415 | frame=52 | x=346 y=298 | area=730
2026-03-17T20:00:23.200877 | frame=59 | x=363 y=312 | area=1026
2026-03-17T20:00:23.706491 | frame=59 | x=363 y=312 | area=1026
2026-03-17T20:00:24.235903 | frame=66 | x=399 y=328 | area=1083
2026-03-17T20:00:24.740643 | frame=66 | x=399 y=328 | area=1083
2026-03-17T20:00:25.267480 | frame=67 | x=398 y=334 | area=1123
2026-03-17T20:00:25.772802 | frame=67 | x=398 y=334 | area=1123
2026-03-17T20:00:26.302437 | frame=77 | x=400 y=331 | area=1350
2026-03-17T20:00:26.807904 | frame=77 | x=400 y=331 | area=1350
2026-03-17T20:00:27.338536 | frame=87 | x=357 y=282 | area=1144
2026-03-17T20:00:27.843642 | frame=87 | x=357 y=282 | area=1144
2026-03-17T20:00:28.374196 | frame=101 | x=329 y=276 | area=2311
2026-03-17T20:00:28.879823 | frame=101 | x=329 y=276 | area=2311
2026-03-17T20:00:29.405723 | frame=31 | x=382 y=194 | area=692
2026-03-17T20:00:29.907939 | frame=31 | x=382 y=194 | area=692
2026-03-17T20:00:30.433940 | frame=48 | x=372 y=185 | area=722
2026-03-17T20:00:30.934780 | frame=48 | x=372 y=185 | area=722
2026-03-17T20:00:31.464436 | frame=49 | x=373 y=194 | area=740
2026-03-17T20:00:31.969887 | frame=49 | x=373 y=194 | area=740
2026-03-17T20:00:32.497847 | frame=51 | x=373 y=194 | area=731
2026-03-17T20:00:33.000624 | frame=51 | x=373 y=194 | area=731
2026-03-17T20:00:33.527602 | frame=52 | x=372 y=197 | area=619
2026-03-17T20:00:34.031232 | frame=52 | x=372 y=197 | area=619
2026-03-17T20:00:34.558606 | frame=53 | x=371 y=189 | area=593
2026-03-17T20:00:35.059892 | frame=53 | x=371 y=189 | area=593
2026-03-17T20:00:35.590008 | frame=58 | x=353 y=196 | area=610
2026-03-17T20:00:36.093953 | frame=58 | x=353 y=196 | area=610
2026-03-17T20:00:36.622708 | frame=60 | x=359 y=298 | area=2155
2026-03-17T20:00:37.126513 | frame=60 | x=359 y=298 | area=2155
2026-03-17T20:00:37.656139 | frame=69 | x=378 y=227 | area=661
2026-03-17T20:00:38.161626 | frame=69 | x=378 y=227 | area=661
2026-03-17T20:00:38.684365 | frame=77 | x=374 y=241 | area=988
2026-03-17T20:00:39.189640 | frame=77 | x=374 y=241 | area=988
2026-03-17T20:00:39.719747 | frame=86 | x=371 y=238 | area=1119
2026-03-17T20:00:40.222817 | frame=86 | x=371 y=238 | area=1119
2026-03-17T20:00:40.752559 | frame=89 | x=369 y=239 | area=1153
2026-03-17T20:00:41.258161 | frame=89 | x=369 y=239 | area=1153
2026-03-17T20:00:41.786242 | frame=90 | x=369 y=238 | area=960
2026-03-17T20:00:42.289595 | frame=90 | x=369 y=238 | area=960
2026-03-17T20:00:42.815706 | frame=91 | x=369 y=239 | area=1072
