2026-03-18 13:09:11,817 [INFO] processor: Process state registered: processor
2026-03-18 13:09:11,817 [INFO] processor: ProcessorProcess initializing...
2026-03-18 14:53:31,765 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 171]
2026-03-18 14:53:31,765 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 175]
2026-03-18 14:53:31,765 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 179]
2026-03-18 14:53:31,765 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 183]
2026-03-18 14:53:31,765 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 186]
2026-03-18 14:53:31,765 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 190]
2026-03-18 14:53:31,765 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 198]
2026-03-18 14:53:31,766 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 202]
2026-03-18 14:53:31,766 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 206]
2026-03-18 14:53:31,766 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 209]
2026-03-18 14:53:31,766 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 217]
2026-03-18 14:53:31,767 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 221]
2026-03-18 14:53:31,767 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 225]
2026-03-18 14:53:31,767 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 232]
2026-03-18 14:53:31,767 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 236]
2026-03-18 14:53:31,767 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 240]
2026-03-18 14:53:31,767 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 247]
2026-03-18 14:53:31,767 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 251]
2026-03-18 14:53:31,768 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 255]
2026-03-18 17:20:37,865 [INFO] processor: Process state registered: processor
2026-03-18 17:20:37,865 [INFO] processor: ProcessorProcess initializing...
2026-03-18 17:20:37,865 [INFO] processor: ProcessorProcess ready: color_lower=[0, 0, 150], color_upper=[100, 100, 255], min_area=500, max_area=50000
